video_id,translated_description
ded35ffe65135e06e72a196c950bc595,"Женщина в черном платье, стоящая перед фиолетовым фоном, мужчина с длинными волосами и бородой, мужчина, сидящий на стуле и фиолетовой стене, карта города выставлена на стене, мужчина в костюме смотрит на камеру."
f4f357cd4342b49c06edae02c307cd37,"мужчина в маске, женщина, стоящая перед зданием в снегу, комната с столом, креслом и компьютером, группа людей, сидящая за столом в офисе, женщина, стоящая рядом с мужчиной в комнате."
fa7bdaa6ec0bcb973b7c013e7caaabf7,"черный фон с белым и красным логотипом, мужчина и женщина сидят на стульях в комнате, женщина в розовом пальто, стоящем у бара, мужчина в синем костюме и белой рубашке, стоящих перед кирпичной стеной."
05f167f9777b73e552b23fdd0101c8fd,"черный фон с белой линией посередине, группа людей, идущих по улице, женщина в белом толстовке стоит в здании, мужчина и мальчик играют в теннис за столом."
97801219ea7597fdfc6366e064907277,"черный фон с белым и красным логотипом, группа людей, стоящих перед сценой, мультфильм женщины и змеи, мужчина в черной куртке, поющий в микрофон."
aa7a9ff8a184583307687c9a7800b343,"Женщина с длинными рыжими волосами поет в микрофон, группа людей, играющих на инструментах в комнате, женщина, держащая микрофон перед лицом, и женщина в черном платье."
9aa4ebb9cd85125b50df76c5e44bd4e7,"черный фон с белым текстом, в котором написано « правило » человека в красной рубашке, готовящего еду на кухне."
d5b46de4a1cc0eddce8791aa5867d8e4,"Молодой мальчик в халате в лаборатории, мужчина и женщина стоят перед зданием, темная комната с светом, идущим через окно, женщина сидит в кресле рядом с мужчиной, вид с воздуха на снежный район."
9da6585128a53892a786a211ea3c02ab,"Группа солдат, стоящих на вершине танка, вид с воздуха на лес с деревьями на заднем плане, группа людей, стоящих рядом с стадом овец, и танк на холме с часами на нем."
6cc126aeb3f470b591ef20d73c175c6d,"черный фон с белым текстом на нем, мужчина с бородой сидящий за столом, стол с тарелкой еды и бутылкой молока, мужчина в фартуке и шляпе на кухне, человек готовящий еду на деревянном столе."
05039c8236004af200bfc9a990cf9693,"черный фон с белым и красным логотипом, мужчина, стоящий перед кирпичной стеной, комната, заполненная множеством различных цветных огней, женщина в красной и белой полосатой рубашке, стоящая на сцене, группа людей на сцене в темной комнате."
dd7d4e24343a105bd91a3ccd698c8908,"Группа людей, сидящих за столами в комнате, мужчина в красной рубашке с микрофоном, женщина с длинными рыжими волосами, играющая в барабаны, неоновый знак, на котором написано ""хобина сука"", и мужчина и женщина, поющие на сцене."
6bf94d251c70a6f6a299b41c335c8fd9,"Женщина в черной кожаной куртке, стоящая перед черным фоном, женщина в черных, кожаная рубашка и черные брюки, женщина, стоящая рядом с машиной и деньгами, женщина в черном наряде, стоящая на черном фоне, женщина в черных кожаных штанах и в черной рубашке, и женщина с черными кожаными серёжками."
828452daae0721b620553368b6b142c3,"Женщина в красном костюме поет в микрофоне, два человека сидят за столом перед микрофоном, мужчина, сидящий сверху барабанного комплекта, женщина в красной куртке разговаривает в микрофонах."
ccb75f5a05b93481fe95d0de668f7adb,"На ночном небе видна звезда, мужчина, стоящий перед рождественским деревом, мужчина, стоящий на стуле рядом с рождественской елкой, и человек, держащий микрофон."
8dca1eb89d5b2ec47419f7cd463221d7,"- изображение бетонного обоя, женщины, сидящей в кресле с микрофоном, две женщины, сидящие за столом, разговаривающие друг с другом, две женщины, сидящие в разных частях комнаты, говорящие, две женщины в разных местах в комнате."
89f54e2d30f46a846059564bf7ac7c14,"черный фон с белыми линиями на нем, машина, припаркованная перед зданием, женщина, сидящая за столом с компьютером, мужчина в полицейской форме указывает на камеру. Мужчина и женщина, идущие по коридору, мужчина в синей рубашке, стоящей перед домом... на карте, мужчины в черной куртке, держащие чемодан."
854c07aaa6a19a5eee9f7f900d2bc1ea,"черный фон с белым текстом, который гласит: ""Я люблю тебя"", лысый лысый мужчина в черной рубашке и очках, мужчина и женщина сидящие за столом, женщина в синем платье, стоящая рядом с красным занавесом, группа людей сидящих за столом."
27103b3cdf0ca2fdfdd3e4223b398a6f,"на стене, два человека стоят перед танком, двое стоят рядом с танком в снегу, двое мужчин в черных куртках и красных шляпах, мужчина в черной куртке и человек в халате, глядя на кусок искусства."
d42d194ba6c4e674a6a625106a76fb1e,"скульптура женщины, держащей раму, мужчина и женщина, сидящие наверху деревянных ящиков, телевизор с камерой и светом, группа людей, стоящих рядом друг с другом, улица с машинами, припаркованными перед зданием."
88c7522e63ebc8ed4c11f023d65b2b4d,"черный фон с белыми линиями на нем, два повара готовят еду на кухне, два человека сидят за столом перед камином, мужчина и женщина стоят перед камином."
7b62e32cf8684b72e31657e9c1ef0ca8,"черный фон со словами на нем, два человека сидят на стульях, мальчик с блондинками и черная толстовка, маленькая девочка сидит перед доской."
f81df1b566b74b7c586e29306624e132,"Женщина, стоящая перед кирпичной стеной, женщина, стоящая на стуле в комнате, две женщины, стоящие рядом с другими женщинами, мужчина в полосатой рубашке и женщина в полосатой рубашке, фотография комнаты, заполненной огнями, фиолетовая и желтая площадь с небольшим насекомым посередине."
eada97df34b0c7cf108358eab0da007a,"Молодой мальчик в лаборатории в халате, женщина, сидящая на диване перед телевизором, строящийся дом, группа людей, идущая по покрытой снегом улице, женщина с красной помадой на лице, белой полкой, наполненной множеством книг."
c5b75db88ea6f70328ebaf4d84b670c3,"скульптура женщины, сидящей на стуле, группа людей, сидящих за столом, мужчина, стоящий на сцене с микрофоном, с черникой рядом с миской с сушеной черникой, поле белых цветов в лесу."
27cf1386822feacbd0735c2262a33198,"Статуя женщины в белом платье, неоновый знак в темноте с черным фоном, мужчина в костюме и очках говорит."
a5e82d6e848953832d839212af0fefd2,"Мужчина и женщина, проходящие через пещеру, мужчина и Жена, стоящие перед скульптурой дракона, металлическая скульптура посреди горы, горы покрыты снегом, человек на качели в воздухе."
8884c062bfa7739bb0bd71bb02fd7893,"группа людей, стоящих на вершине замерзшего озера, человек, который ездит на снегоходе на снеговом поле, женщина, держащая ребенка в снегу, женщина в белой шляпе, держащая снежный шар."
d7a3badbc742ab5c066a5b8e5c35e44b,"скульптура женщины, сидящей на стуле, мужчины, играющего на гитаре на сцене, группы людей, играющих на инструментах в комнате, мужчина, стоящий на вершине сцены с микрофоном, человек, стоящий перед светом."
d658dbe6befec1abf48fb2c774c65d2d,"Черно-белое фото человека в костюме, синяя машина со словами благодарности, два человека, держащие флаг в снегу, мужчина, стоящий рядом с пожарной гидрой."
08d8224d59b55298abaf56b35a2753e3,"черный фон с белым текстом на нём, мужчина сидит за столом с шляпой, и мужчина в фартуке готовит еду на кухне."
c10ad8d1aadb2f5a8ae48b80a91e4d2d,"Мужчина в костюме, стоящем в коридоре, женщина, сидящая на стуле рядом с лампой, мужчина, сидящий на стуле перед розовой стеной."
cd265f1ce527b7e679cda5ced22a5032,"мужчина в синей рубашке, стоящий рядом с водоемом, синий фон с белыми буквами и красным сердцем посередине, мужчина в синей рубашке позирует для камеры."
54e99123e2326dc0b8d6c4f743da959c,"черный фон с белым текстом, две женщины сидят за столом в ресторане, мужчина стоит перед группой людей, женщина с рыжими волосами в зеленом платье."
cef156bf92b28e04db716e2e72c50b7f,"черный фон с белым текстом на нём, мужчина и женщина сидят за столом, две женщины сидят за столом с журналами на нём, два человека сидят за столом перед красными занавесами, женщина с длинными светлыми волосами в седом свитере, группа людей сидит за столом с табличкой, три женщины сидят с очками и женщина в солнечных очках."
1139cb90feffbb3b435cb720f8e7c426,"Черная дыра в центре розового фона, группа людей, стоящих рядом с другими людьми, мужчина и женщина, стоящие перед зеркалом, девушка в зеленой куртке и рыжие волосы держат гитару."
f81bccf523806ad556d157c090cd95e4,"Скульптура женщины, сидящей на стуле, мужчины, играющего на гитаре на сцене, и группы людей, стоящих перед сценой, мужчины, поющего в микрофоне в темной комнате."
792aa0f782f9a89e402a4f994595d7c8,"Красный фон со словом ""око"", мужчина в черной рубашке разговаривает с другим мужчиной, два мужчины стоят перед сценой со светом, два мужчины стоят на сцене, разговаривая друг с другом, два мужчины сидят за столом в офисе, мужчина в синей рубашке и очки, идущие по улице."
c833bc9a61af7fe06a86c6cc9db83e93,"Две девушки в комнате с гитарами и гитарами, две женщины в костюмах разговаривают друг с другом."
c4dd03665b08df853688a3e5e1b77935,"Женщина, держащая перед собой рождественское дерево, две женщины, сидящие на диване в гостиной, три женщины, сидящие за кухонной стойкой, готовящие еду, две женщины разговаривают друг с другом, женщина, сидящая за столом перед рождественской елкой, две фотографии женщины, говорящей с каждой другой женщиной."
5260e66e33c0f1c659f70a14da320bf7,"Женщина делает знак мира перед своей машиной, двое мужчин сидят в задней части автобуса."
729ff949852d3b205250ad82b44d8fc9,"черный фон с белым текстом, в котором говорится, что мужчина в черной куртке держит руки вверх, мужчина и женщина сидят в машине с мыслительным пузырём над ними, группа людей сидит на заднем сидении машины, два человека смотрят на клетку в снегу."
c94e90cfcdaf5e2143c2aaa43a0b89d8,"Закрытое стекло на столе, мужчина в красной куртке, стоящий в снегу, два человека в красных пальто ходят по снегу, мужчина, стоящий на покрытой снегом горе, человек с красным флагом в Снежке."
71bc851a38e363130743447d921f9dca,"Красный холодильник с открытой дверью, мужчина, стоящий рядом с роботом, двое мужчин, стоящих на берегу реки, двое мужчин в чистке, глядя на кусок бумаги, мужчина в синей рубашке, стоящий в офисе, белый туалет, сидящий на верхушке обрезанного пола."
cb96ea561a8b719e9733fa3571d147e4,"черный экран с желтой стрелой на нём мужчина в форме разговаривает с другими мужчинами в форме мужчина в гавайской рубашке стоит на пляже, женщина сидит на столе рядом с мужчиной, группа женщин смеется и смеется вместе."
32f464f33dcd8d9a23bb4d92f054afa8,"скульптура женщины, сидящей на стуле, женщины в синем платье, поющей в микрофоне, группы людей на сцене, играющей в инструменты, замыкающей винный бокал, наполненный жидкостью, женщины, стоящей на сцене перед микрофоном."
cb66770e0ffdb610d3ac1d60cbaf0181,"скульптура женщины, сидящей на стуле, женщина в белом платье танцует на тротуаре, мужчина и женщина сидят на сцене, стол с различными вещами на нем, женщина стоит перед бутылками вина, а женщина сидит на переднем экране телевизора."
66565ea576a9f4a35056d1bcd409fd90,"Вид на пристань с лодками в воде, два человека на заднем сидении автомобиля, закрытая верхушка плиты с двумя горелками, мужчина разговаривает с другим мужчиной на кухне, вид на город из парка."
8974056cd4bd83b40bb92193d429e9d9,"Человек, играющий в барабаны перед группой, группа людей на сцене, поющих и играющих на инструментах, мужчина в черной рубашке с микрофоном, неоновый знак, который говорит ""хух сука""."
348d22b256a7b5dde702933c31f69e5d,"Изображение кругового объекта в фиолетовом, зелёном и синем, изображение двух женщин, сидящих за столом перед зеленым экраном, женщины в зеленом костюме и красной помаде."
693c737ed0a23de565ace5ae7c1b250a,"черный фон с белым текстом на нём, лысый лысый мужчина, мужчина в полосатой рубашке смеётся, двое мужчин сидят за столом перед знаком, двое мужчин сидят на бочке рядом с другим мужчиной."
ec11f06b252302961a74edc2e1285105,"Черно-белое фото человека в костюме, вид с воздуха на маленький городок, окруженный снегом, мужчина, стоящий в снегу с шляпой, церковь посреди замерзшего озера, человек, идущий по коридору в музее."
fad073b8fda7519552a92ce7bf84ebd3,"Красный и синий обои со словом ""р"" на них, человек, держащий поднос с едой, мужчина с бородой, стоящий перед другими мужчинами, женщина, сидящая на диване рядом с книгой, мужчина, сидящий за столом со свечкой в руке."
723f00953a85be57c8f9f65c31ec0200,"черная дыра в центре розового фона, мужчина в синей рубашке с улыбкой на лице, человек в черной рубашке и белых носках, играющий в футбол, изображение телефона с наклейкой на нём, женщина, стоящая перед неоновым знаком."
2170fb9a68932b49384c6bb9f52862c6,"Два человека стоят перед горящим грузовиком, мужчина в клетке с головой в воздухе, вид с воздуха на поле с краном, фото человека, стоящего на красном фоне, мужчина, сидящий на стуле перед палаткой, горящий автомобиль, человек, рисующий на листе бумаги, красный автомобиль, сидящий на вершине кучи мусора."
d8d14605a042a1d7d7c8493d7ca70e08,"Мужчина и женщина сидят за столом, двое мужчин играют на гитарах перед микрофоном, мужчина играет на барабанах в комнате звукозаписи, женщина с длинными каштановыми волосами, сидящая в переднем углу микрофона, неоновый знак со словами ""моя лифта"" на нем."
6e3c9fa6c4d9e77b0c43f0a2deb90554,"черный фон с белым текстом на нем, две девочки в черных платьях стоят перед рождественским деревом, мужчина в шляпе санты разговаривает с женщиной, мужчина и женщина в комнате с деревянной мебелью, женщина резает кусок дерева ножом."
4b0aa4661e1946b05b7f87e20cbb0b95,"Обложка альбома, мужчина в белой рубашке и белой рубашке, двое мужчин сидят на диване и разговаривают друг с другом."
ad98350d88dacc307250b134a3dd6f90,"черный фон с белым текстом, в котором говорится, что женщина стоит на сцене перед толпой, группа людей сидящих за столом, женщина поет в микрофоне в передней части неонового знака."
9cbc3cf610701511c42774984a4b6aa1,"Женщина, сидящая за столом с пишущей машинкой, мужчина и женщина, стоящие рядом с другими людьми, козел в клетке со знаком на боку, статуя женщины, держащей птицу."
50c21056c86938b2db72b2390a8657a1,"Человек в черной кожаной куртке, стоящий перед красными огнями, темно-синий фон с линиями посередине, воздушный вид огня, горящего в поле, близкий к человеческому черепу, группа людей, сидящих вокруг огня, человек, стоящий на коленях перед пещерой, чёрный фон со словами на русском и английском языках, изображение ракеты, выпущенной в небо."
b062dfff603f5b5764561fe78c1fb19a,"мужчина в белой рубашке находится на видео экране, женщина с розовыми волосами стоит рядом с другой женщиной, две женщины разговаривают друг с другом, комната со столом, стулом и зеркалом, женщина стоит в комнате рядом с зеркалом."
1797036b3e0e118fd103d7b007744b88,"Человек, стоящий перед микрофоном, мужчина в синей куртке идет по улице, размытое фото человека в поезде, двое сидящих в задней части фургона."
ff1203c5d2cdf49d7235a3db1f616402,"Темно-синий фон с красным и синим цветом, группа карикатурных персонажей, стоящих на поле, мультфильм, фигура, катающаяся на катке на льду, мужчина в костюме, сидящий за столом, и мультфильмовый персонаж в фиолетовом костюме."
eda0ffa35630dfe51d58d3e0a01d66e7,"черный фон с белым текстом на нём, мужчина в черной куртке сидящий за столом, группа людей сидящих за столом, две женщины сидящие за столом перед красными занавесками, женщина в очках."
322de209c46e6498294ad8c33d37a5fa,"черный фон с белым текстом на нём, группа людей сидящих за столом, женщина в красном платье смотрит в камеру, две женщины сидят за столом и смотрят на свои сотовые телефоны."
a40df9cd5c1517f478b458d74081ab12,"мужчина в черной куртке делает смешное лицо, женщина идет по кирпичной дорожке, мужчина катается на скейтборде вниз по пандусе, группа людей стоит перед стеной."
b9905e6cc1a26743665edb4265f79cc8,"черный фон с белым текстом, в котором говорится, что мужчина в оранжевой рубашке стоит перед картиной, мужчина и женщина готовят еду на кухне, мужчина в очках и красной рубашке, чёрная тарелка с красным перцем, влитым в нее."
284d39d6a9aa182a75b0c2bf6e7755bf,"Женщина в зеленой куртке, стоящая перед красным фоном, розовый фон со словами ""ма2ба"", женщина в... зелёной куртке и белой рубашке, женщина в зеленой куртке и белая рубашка, стоящая в передней части красного фона."
c4cecc50f6847b4918796e0fabb23710,"черная дыра в центре розового фона, женщина, стоящая перед неоновым знаком, человек, держащий знак в комнате, фотография девушки с голубыми волосами, фотография с блондинками и группа людей позируют для фотографии."
73184ff6e31a772337323752e24a1685,"черный экран с белым текстом на нем, мужчина, сидящий на кровати в грязной комнате, группа людей, сидящих вокруг стола, женщина, смотрящая на ее отражение в зеркале, мужчина в красной куртке идет по улице, женщина в красной шляпе и красной куртке, группа мужчин, стоящих на крыше."
b22a4cc53f1a2ceb3c6a627e62fb9fe6,"мужчина и женщина идут по улице, мужчина и женщина стоят перед зданием, два человека идут по лесу, мужчина работает в кузнецовом магазине, пара людей стоят в комнате, группа людей идет по улице."
249b5ddc91b98ec3cd6356773073aea0,"черный фон с белым текстом на нём, мужчина, сидящий за столом перед неоновым знаком, и мужчина, держащий камеру, мужчина в серой рубашке сидит на фиолетовом и зелёном фоне."
90203d59857ed1fbb1c3142aa1fe7714,"черный экран с белым текстом на нем, группа мужчин, стоящих рядом с другими мужчинами, двое мужчин, стоящих перед зданием ночью, мужчина и женщина, одетые как олени, человек, сидящий на стуле в комнате, белый фургон, припаркованный на улице."
4184762cc32e1a4a3da074bacfd775c8,"черный фон с белым текстом на нем, мужчина с бородой, сидящей за столом, и человек, стоящий на кухне, готовящий еду, мужчина в фартуке, готовящий на плите, человек готовящий еду на деревянном столе."
92f09d5f55fc50dd70d741f8c1aec93c,"Желтый фон с черно-белой границей, двое мужчин сидят перед красным занавесом, двое стоят в переднем углу красного занавеса, мужчина в розовой рубашке держит микрофон, мужчина в ковбойской шляпе, сидящий на стуле."
7ae8dba100ff92da051677318f1bcb60,"черный фон с белыми линиями на нем, мужчина, стоящий перед столом, полным пищи, человек готовящий еду на столе, сковородка, наполненная красным перцем, готовящая на плите, мужчина, держащий бензопилу с дымом из нее, и мужчина, резающий овощи на деревянном столе."
efbf4d7056c307e2dfaf8a5a1d12f615,"Красный фон со словом ""око"", два мужчины, говорящие в парке, мужчина, получающий массаж в спа, человек, стоящий наверху деревянного пола, и мужчина, стоящий перед дверью."
68007d7d891356eaf785bb251b186a0e,"черный фон с белым текстом, мужчина и женщина сидят на стульях в гостиной, женщина стоит перед картиной, и женщина в черном свитере пишет на листе бумаги."
ed84068e8b67a26f657c04c3f4801d07,"черный экран с белым текстом на нём, мужчина и женщина, стоящие на вершине горы, два человека в красных куртках идут вверх по лестнице мужчина в шляпе разговаривает с женщиной на рынке, группа людей идет по улице, статуя мужчины перед зданием."
8023d3d7dced55a0bcd6356c5715a6f9,"Человек, стоящий рядом с грузовиком в снегу, изображение здания со знаком на нем, старое черно-белое фото толпы людей, двое мужчин сидящих за столом в комнате, маленький самолет, летящий через облачное небо, птица, летающая в небе."
86d019b666d7c8a3f1d7604f6908ce81,"Британский флаг висит на стене, рука человека на вершине контроллера игры, женщина с полотенцем, обернутым вокруг головы, фиолетовый и красный плакат со словами, фотография группы людей на розовом фоне."
652dd359a061c9f1cb40a9202cd806e2,"мужчина и женщина стоят перед столом, мужчина и женщина готовят еду на кухне, человек готовит горшок супа на плите, человек наливает вино в бокал вина, женщина играет в бильярд, и мужчина ест."
fd01e64be8aa3bb381d20aef7f98263f,"Статуя женщины с розовым светом на голове, группа людей сидящих на сцене, женщина в розовой куртке сидящая за столом, мужчина в синем костюме, сидящий в красном стуле."
305a910846f9d43507d2a2147510d4d7,"красная пластиковая коробка с белой крышкой, мужчина в зеленом свитере с микрофоном, и человек, стоящий посреди затопленной реки."
4b4b653136a2d799f037b79cf82ce680,"Изображение кругового объекта в фиолетовом и зелёном цветах, изображение двух человек, сидящих за столом перед неоновым знаком, женщина в зеленом платье и фиолетовом фоне, человек, играющий в карточную игру на столе."
9ef98cb20ba158e160b41c4085cc9314,"Компьютерный экран с красочным рисунком на нём, два человека сидят за столом перед неоновым знаком, изображение женщины с двумя игровыми картами, мужчина носит зеленую рубашку."
09405757af3cca60b1b37d77eadb4164,"Мужчина сидит на кровати рядом с женщиной, двое мужчин сидят в машине, говорящей по телефону."
ce9697edebdbec509944e8a010d91d0e,"черный экран с красным кругом, два человека сидят на диване в гостиной, мужчина в белом танке с напитком, женщина с блондинками и красной рубашкой, фиолетовый фон со словами ""чистый"" на нем."
92bb533b680ab9682b7d28a079163826,"Женщина, стоящая перед красочными огнями, экранная съёмка неба, показывающая созвездия, объект виден в темном небе, изображение солнца и его орбиты."
f5062f0bf5b29ae410520d511c008a6e,"черный фон с белыми линиями на нем, мужчина в форме шеф - повара готовит еду, два повара готовят еду на кухне, тарелка с едой, сидящая на деревянном столе, два мужчины сидят за столом, едят еду."
df3020c8a9b36ee99a0bc69936b202c0,"Красный и синий обои со словом ""r"" на них, человек с горсткой овса, вид с воздуха на большое зелёное поле, рядом с красной и белой машиной, женщина в синей рубашке стоит перед машиной."
83d3d6be6bc13a868b263a1e3fd88ce5,"Скульптура женщины, сидящей на стуле, группа людей, стоящих на сцене, мужчина с ужасными волосами, поющий в микрофон, и мужчина в костюме, держащий трофей."
205a62c1c81b8503d8335c9777203361,"скульптуру женщины, сидящей на стуле, мужчину в костюме и очках, сидящую за столом, группу людей, сидящих вокруг пожарной ямы, черно-белую фотографию мужчины с длинными волосами, женщину в зеленой рубашке, стоящую перед баром."
f6d670c13805ccb1162d87f1d2284233,"черный фон с белым текстом, в котором написано « правило », зеленая чаша, сидящая на деревянном столе, мужчина в синей рубашке, стоящий на кухне, рядом с тарелкой с едой на столе, мужчина, стоящий перед рождественским деревом."
bfbf94f953b2d075a84686f5ef81a076,"Название игры, название игры, футуристический автомобиль в темноте, мужчина и женщина сидят в красной машине, женщина стоит перед машиной и мужчина в бейсбольной форме разговаривает с женщиной."
216c70b083cdd8deb59f5866d59b60dc,"логотип русской футбольной команды, воздушный вид на замороженное озеро в Арктике, ледяная скульптура с солнцем на заднем плане, маленькая лодка, плавающая на вершине засохшего озера, дорога покрыта льдом и снегом."
c4f464b3679c325b3c7fce341783950c,"картинка радужного круга, женщина, стоящая перед неоновым знаком, мужчина в космическом костюме, и мужчина, стоящий рядом с кучей ящиков, фотография женщины с фиолетовыми волосами, женщина в розовом платье, держащая винный стакан, мужчина с очками, смотрящий на камеру."
f980226eab02261b02391bf7076ada98,"Изображение луны в ночном небе, черный фон с белым текстом на ней, женщина в черной рубашке, стоящая перед стеной, мужчина в зеленой толстовке, стоящий в передней части камеры, две женщины, стоящие рядом с другими женщинами."
d002162647d20cac52ff2cdbc66ab7e4,"черная дыра в центре розового фона, женщина, стоящая перед зеркалом, красная и синяя речь со словами ""я"" на ней, мужчина и женщина смотрят друг на друга в глаза."
964c9e581111029c7fd894667f4a7d03,"черный фон с белым текстом на нем, мужчина, стоящий перед забором, группа людей, стоящих рядом с машиной, силуэт человека, держащего зонтик, двое мужчин, гуляющих в комнате с раздевалками, большой зал с красными стульями и люстрой."
9d37073c63008c784bf95a8a4d1715d5,"черный фон с белым текстом, в котором говорится: ""Человек, стоящий на вершине красной коробки в снегу, двое мужчин, стоящих перед телефонной будкой, мужчина в черной куртке, стоящий в воде."""
b1d77da00cd4df1b1274ce63092c854a,"черный фон с красным и белым текстом на нем, мужчина в черном пиджаке с зонтиком, двое мужчин стоят перед машиной, грузовик едет по грунтовой дороге, группа людей стоит вокруг палатки."
8c1f8598bc1c50d681d793d6d8640086,"Черный экран с белым текстом на нём, мужчина в синей шляпе сидящий за столом, женщина сидящая с цветами перед ней, и мужчина и женщина сидели за столами."
